Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
China,2017,0-6 days,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
China,2017,7-27 days,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
China,2017,28-364 days,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
China,2017,1-4 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",45.73541678,32.83573737,55.00268426
China,2017,5-9 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",117.191293,89.8387194,137.6139302
China,2017,10-14 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",254.3850382,207.0770109,291.2183404
China,2017,15-19 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",654.7088163,528.8898397,800.9515282
China,2017,20-24 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",1270.694181,981.1018679,1595.8132
China,2017,25-29 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",1889.622647,1524.376943,2343.294264
China,2017,30-34 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",2389.302781,1940.550055,2927.566449
China,2017,35-39 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",2897.455536,2452.280162,3477.403264
China,2017,40-44 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",3562.017012,3017.863441,4197.284961
China,2017,45-49 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",4352.567878,3710.865902,5083.714431
China,2017,50-54 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",5448.977519,4634.313356,6425.898358
China,2017,55-59 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",7030.788734,5943.742722,8182.329956
China,2017,60-64 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",9691.95763,8084.881525,11464.63673
China,2017,65-69 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",13414.74189,11218.93059,15724.62709
China,2017,70-74 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",18100.59451,15133.44148,21337.87474
China,2017,75-79 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",22757.28682,19092.47836,27406.15219
China,2017,80-84,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",26558.54822,22728.20852,31795.97702
China,2017,85-89,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",30069.66957,25471.7856,35740.96903
China,2017,90-94,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",34012.59364,27979.47362,41521.80244
China,2017,95+ years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",38328.21497,29638.46899,47869.97422
