Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,2017,0-6 days,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
Global,2017,7-27 days,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
Global,2017,28-364 days,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
Global,2017,1-4 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",39.6304547,26.05009182,50.91775889
Global,2017,5-9 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",98.77861476,69.3326375,123.7094939
Global,2017,10-14 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",180.2250797,133.3185515,218.3322496
Global,2017,15-19 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",337.9505079,264.2674693,415.9828629
Global,2017,20-24 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",581.8429967,438.8234727,727.8969529
Global,2017,25-29 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",880.3240023,694.4904002,1085.667024
Global,2017,30-34 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",1258.050486,1008.301403,1546.895044
Global,2017,35-39 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",1817.258799,1507.281174,2176.496236
Global,2017,40-44 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",2695.199234,2228.897506,3241.541575
Global,2017,45-49 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",4025.050314,3389.152424,4831.951464
Global,2017,50-54 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",5996.18796,5056.680648,7106.906125
Global,2017,55-59 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",8768.319962,7407.622747,10253.81437
Global,2017,60-64 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",12042.94319,10176.94895,14107.53109
Global,2017,65-69 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",15999.2257,13404.81183,18577.70586
Global,2017,70-74 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",20298.36443,17340.16362,23542.75705
Global,2017,75-79 years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",23894.05812,20555.12613,27964.08332
Global,2017,80-84,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",26721.80339,23220.87288,31262.18974
Global,2017,85-89,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",28876.65126,25025.10853,33558.90851
Global,2017,90-94,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",31819.50921,26950.98121,37556.06073
Global,2017,95+ years,Male,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",37470.15763,31147.4367,45431.53674
