Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Sub-Saharan Africa,2017,0-6 days,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,7-27 days,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,28-364 days,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,1-4 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",47.35039823,33.78626296,55.53610797
Sub-Saharan Africa,2017,5-9 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",117.9383591,92.17069061,137.86234
Sub-Saharan Africa,2017,10-14 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",205.2738675,160.6761749,238.2979889
Sub-Saharan Africa,2017,15-19 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",341.8396418,271.9029363,412.26562
Sub-Saharan Africa,2017,20-24 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",539.9947259,408.4266488,690.7482222
Sub-Saharan Africa,2017,25-29 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",801.9169031,620.7576832,1005.920982
Sub-Saharan Africa,2017,30-34 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",1138.242933,897.3267054,1445.34259
Sub-Saharan Africa,2017,35-39 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",1647.431462,1333.420772,2019.586707
Sub-Saharan Africa,2017,40-44 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",2533.811093,2032.271183,3131.488869
Sub-Saharan Africa,2017,45-49 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",3903.392424,3206.429106,4769.057354
Sub-Saharan Africa,2017,50-54 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",5714.994422,4687.989761,6920.443244
Sub-Saharan Africa,2017,55-59 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",7863.179245,6478.701309,9427.441873
Sub-Saharan Africa,2017,60-64 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",10108.43277,8317.673723,12003.77723
Sub-Saharan Africa,2017,65-69 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",12373.70705,10248.29904,14585.84485
Sub-Saharan Africa,2017,70-74 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",14580.17677,12279.51841,17153.3967
Sub-Saharan Africa,2017,75-79 years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",16719.12657,14089.14941,19788.97927
Sub-Saharan Africa,2017,80-84,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",18594.44107,15775.36381,21933.21904
Sub-Saharan Africa,2017,85-89,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",20526.90516,17466.6405,24065.80237
Sub-Saharan Africa,2017,90-94,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",22328.15426,18998.21399,26670.03306
Sub-Saharan Africa,2017,95+ years,Female,Chronic obstructive pulmonary disease,"Prevalent cases per 100,000",23902.98805,19509.62086,28871.942
