Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Global,2017,0-6 days,Male,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Global,2017,7-27 days,Male,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Global,2017,28-364 days,Male,Cardiovascular diseases,"Prevalent cases per 100,000",0.000138125,2.96851E-05,0.000296851
Global,2017,1-4 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",206.202406,139.812557,289.744839
Global,2017,5-9 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",465.2541556,358.7330737,591.1143087
Global,2017,10-14 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",562.5573058,485.2254373,673.4514689
Global,2017,15-19 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",918.8693945,794.4158002,1075.666645
Global,2017,20-24 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",1007.227218,900.5585015,1150.031246
Global,2017,25-29 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",1259.636279,1143.832295,1403.505339
Global,2017,30-34 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",1602.746906,1496.618717,1713.896695
Global,2017,35-39 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",2414.662223,2229.969653,2642.10621
Global,2017,40-44 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",4704.685801,4317.841091,5135.044234
Global,2017,45-49 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",6791.428401,6349.666681,7309.271879
Global,2017,50-54 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",9870.423924,9158.602201,10679.30424
Global,2017,55-59 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",14389.10307,13393.09763,15468.36065
Global,2017,60-64 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",20112.45842,18826.30385,21642.83505
Global,2017,65-69 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",27075.65377,25467.73105,28813.34824
Global,2017,70-74 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",34507.23853,32295.53098,36844.53897
Global,2017,75-79 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",41272.5246,38795.41129,43726.39588
Global,2017,80-84,Male,Cardiovascular diseases,"Prevalent cases per 100,000",46244.56246,43674.80921,48988.90402
Global,2017,85-89,Male,Cardiovascular diseases,"Prevalent cases per 100,000",49045.8489,46460.60529,51796.1383
Global,2017,90-94,Male,Cardiovascular diseases,"Prevalent cases per 100,000",50456.81545,47512.33319,53531.60565
Global,2017,95+ years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",50682.30052,47252.19081,54228.31369
