Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Sub-Saharan Africa,2017,0-6 days,Female,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,7-27 days,Female,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,28-364 days,Female,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,1-4 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",160.2455883,111.0320607,276.0891331
Sub-Saharan Africa,2017,5-9 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",510.5282721,472.0238428,560.7561721
Sub-Saharan Africa,2017,10-14 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",1036.642923,930.7529446,1198.417347
Sub-Saharan Africa,2017,15-19 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",1909.89521,1602.961718,2295.617932
Sub-Saharan Africa,2017,20-24 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",1766.945488,1623.028799,1949.717568
Sub-Saharan Africa,2017,25-29 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",2018.702829,1875.48161,2199.976392
Sub-Saharan Africa,2017,30-34 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",2320.331786,2179.868075,2484.242318
Sub-Saharan Africa,2017,35-39 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",2799.654846,2635.843397,3017.305122
Sub-Saharan Africa,2017,40-44 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",4739.70305,4343.753917,5226.023958
Sub-Saharan Africa,2017,45-49 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",6073.291751,5676.452575,6574.812615
Sub-Saharan Africa,2017,50-54 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",7910.48691,7372.577723,8570.753428
Sub-Saharan Africa,2017,55-59 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",10890.70483,10115.94437,11730.91375
Sub-Saharan Africa,2017,60-64 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",15223.7249,14156.75167,16551.73458
Sub-Saharan Africa,2017,65-69 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",21549.34134,19931.12816,23282.9662
Sub-Saharan Africa,2017,70-74 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",28431.26501,26149.75233,30968.95422
Sub-Saharan Africa,2017,75-79 years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",34487.28071,31735.65998,37343.97167
Sub-Saharan Africa,2017,80-84,Female,Cardiovascular diseases,"Prevalent cases per 100,000",38589.79643,35684.09844,41852.16408
Sub-Saharan Africa,2017,85-89,Female,Cardiovascular diseases,"Prevalent cases per 100,000",40199.78233,37448.65047,43434.50118
Sub-Saharan Africa,2017,90-94,Female,Cardiovascular diseases,"Prevalent cases per 100,000",41374.15652,38117.48823,44843.99259
Sub-Saharan Africa,2017,95+ years,Female,Cardiovascular diseases,"Prevalent cases per 100,000",42383.1259,38339.46292,46765.58884
