Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Sub-Saharan Africa,2017,0-6 days,Male,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,7-27 days,Male,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,28-364 days,Male,Cardiovascular diseases,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,1-4 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",289.7718437,201.9472821,399.8351524
Sub-Saharan Africa,2017,5-9 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",752.8133648,580.6616488,964.2727531
Sub-Saharan Africa,2017,10-14 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",874.0964486,766.9387872,1021.675698
Sub-Saharan Africa,2017,15-19 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",1336.616009,1182.160101,1550.228542
Sub-Saharan Africa,2017,20-24 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",1445.218621,1333.82295,1591.775771
Sub-Saharan Africa,2017,25-29 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",1786.845494,1656.696214,1961.84218
Sub-Saharan Africa,2017,30-34 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",2145.213382,2045.379371,2251.528907
Sub-Saharan Africa,2017,35-39 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",2880.941863,2737.672219,3038.283869
Sub-Saharan Africa,2017,40-44 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",5023.532381,4723.229843,5362.279244
Sub-Saharan Africa,2017,45-49 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",7003.792772,6620.724209,7465.553563
Sub-Saharan Africa,2017,50-54 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",9319.428006,8735.66328,10011.79327
Sub-Saharan Africa,2017,55-59 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",12781.38839,11958.08258,13637.66228
Sub-Saharan Africa,2017,60-64 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",17952.11704,16699.92505,19442.38383
Sub-Saharan Africa,2017,65-69 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",24977.95617,23233.5877,26904.39243
Sub-Saharan Africa,2017,70-74 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",32506.10223,29839.63733,35395.82167
Sub-Saharan Africa,2017,75-79 years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",38284.00684,35078.35725,41654.03656
Sub-Saharan Africa,2017,80-84,Male,Cardiovascular diseases,"Prevalent cases per 100,000",42249.92387,39045.47776,45811.50042
Sub-Saharan Africa,2017,85-89,Male,Cardiovascular diseases,"Prevalent cases per 100,000",43683.35063,40823.58652,46964.12376
Sub-Saharan Africa,2017,90-94,Male,Cardiovascular diseases,"Prevalent cases per 100,000",45199.89031,41694.52608,49008.03128
Sub-Saharan Africa,2017,95+ years,Male,Cardiovascular diseases,"Prevalent cases per 100,000",45590.89215,40924.05071,50788.45784
