Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
China,2017,0-6 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
China,2017,7-27 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
China,2017,28-364 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
China,2017,1-4 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",0.959734539064,0.461288215939,1.62761652387
China,2017,5-9 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",11.7877628181,6.83042158018,18.2575077703
China,2017,10-14 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",78.695944289,47.813594247400005,116.724206723
China,2017,15-19 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",786.9346828989999,566.7087109930001,1024.40958169
China,2017,20-24 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",2931.1131323299996,2126.40015231,3793.4429351500003
China,2017,25-29 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",4750.73366074,3625.7151491100003,6002.13205764
China,2017,30-34 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",5977.27102233,4863.4451517200005,7388.05839709
China,2017,35-39 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",7122.27143352,5967.63684148,8495.00721047
China,2017,40-44 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",8279.37116615,6982.28194843,9614.14306864
China,2017,45-49 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",9497.28057005,8169.25549821,10977.6639785
China,2017,50-54 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",10641.187353700001,9335.07057739,12120.627364
China,2017,55-59 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",11593.792943800001,10342.7056218,13149.634822199998
China,2017,60-64 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12106.5560326,10829.2844798,13638.25055
China,2017,65-69 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12447.3656134,11109.8126225,13981.721102
China,2017,70-74 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12613.6742724,11233.3389617,14186.8922978
China,2017,75-79 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12654.726942299998,11290.2613214,14263.452685600001
China,2017,80-84,Male,Diabetes mellitus,"Prevalent cases per 100,000",12551.582392399998,11191.025491499999,14146.5433122
China,2017,85-89,Male,Diabetes mellitus,"Prevalent cases per 100,000",12047.8271767,10704.8754504,13684.406731000001
China,2017,90-94,Male,Diabetes mellitus,"Prevalent cases per 100,000",11152.6304291,9847.631140349999,12697.7563353
China,2017,95+ years,Male,Diabetes mellitus,"Prevalent cases per 100,000",9980.71763636,8703.52451391,11509.274496999999

"Global Burden of Disease Study 2017. Global Burden of Disease Study 2017 (GBD 2017) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2018."
"Available from http://vizhub.healthdata.org/gbd-compare/"
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
