Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
China,2017,0-6 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
China,2017,7-27 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
China,2017,28-364 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
China,2017,1-4 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",0.959734539,0.461288216,1.627616524
China,2017,5-9 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",11.78776282,6.83042158,18.25750777
China,2017,10-14 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",78.69594429,47.81359425,116.7242067
China,2017,15-19 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",786.9346829,566.708711,1024.409582
China,2017,20-24 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",2931.113132,2126.400152,3793.442935
China,2017,25-29 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",4750.733661,3625.715149,6002.132058
China,2017,30-34 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",5977.271022,4863.445152,7388.058397
China,2017,35-39 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",7122.271434,5967.636841,8495.00721
China,2017,40-44 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",8279.371166,6982.281948,9614.143069
China,2017,45-49 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",9497.28057,8169.255498,10977.66398
China,2017,50-54 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",10641.18735,9335.070577,12120.62736
China,2017,55-59 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",11593.79294,10342.70562,13149.63482
China,2017,60-64 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12106.55603,10829.28448,13638.25055
China,2017,65-69 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12447.36561,11109.81262,13981.7211
China,2017,70-74 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12613.67427,11233.33896,14186.8923
China,2017,75-79 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12654.72694,11290.26132,14263.45269
China,2017,80-84,Male,Diabetes mellitus,"Prevalent cases per 100,000",12551.58239,11191.02549,14146.54331
China,2017,85-89,Male,Diabetes mellitus,"Prevalent cases per 100,000",12047.82718,10704.87545,13684.40673
China,2017,90-94,Male,Diabetes mellitus,"Prevalent cases per 100,000",11152.63043,9847.63114,12697.75634
China,2017,95+ years,Male,Diabetes mellitus,"Prevalent cases per 100,000",9980.717636,8703.524514,11509.2745
