Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Sub-Saharan Africa,2017,0-6 days,Female,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,7-27 days,Female,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,28-364 days,Female,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,1-4 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",7.657071364,4.367867948,12.40034118
Sub-Saharan Africa,2017,5-9 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",89.4684445,64.58151427,121.4511102
Sub-Saharan Africa,2017,10-14 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",418.9037486,321.8667946,517.1887993
Sub-Saharan Africa,2017,15-19 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",1207.108809,908.7134972,1581.103911
Sub-Saharan Africa,2017,20-24 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",2015.52189,1583.317321,2496.020193
Sub-Saharan Africa,2017,25-29 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",2928.947818,2326.139264,3550.805444
Sub-Saharan Africa,2017,30-34 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",3807.851765,3178.731695,4517.962306
Sub-Saharan Africa,2017,35-39 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",4849.929308,4094.785982,5661.454081
Sub-Saharan Africa,2017,40-44 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",6150.70928,5236.903394,7231.720731
Sub-Saharan Africa,2017,45-49 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",7819.134395,6785.021607,9149.871374
Sub-Saharan Africa,2017,50-54 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",10027.95482,8641.162129,11653.30409
Sub-Saharan Africa,2017,55-59 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",13140.80403,11491.67871,15105.26519
Sub-Saharan Africa,2017,60-64 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",17064.80922,14740.52824,19598.82113
Sub-Saharan Africa,2017,65-69 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",20725.89217,18117.59749,23493.09952
Sub-Saharan Africa,2017,70-74 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",23657.75334,20561.37932,26638.86455
Sub-Saharan Africa,2017,75-79 years,Female,Diabetes mellitus,"Prevalent cases per 100,000",25695.37397,22348.40506,28794.98557
Sub-Saharan Africa,2017,80-84,Female,Diabetes mellitus,"Prevalent cases per 100,000",26845.36031,23470.78574,30132.31866
Sub-Saharan Africa,2017,85-89,Female,Diabetes mellitus,"Prevalent cases per 100,000",26261.48916,22982.96605,29715.60269
Sub-Saharan Africa,2017,90-94,Female,Diabetes mellitus,"Prevalent cases per 100,000",23496.32258,20208.6989,27020.18501
Sub-Saharan Africa,2017,95+ years,Female,Diabetes mellitus,"Prevalent cases per 100,000",19535.5948,16388.19699,22994.75099
