Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Sub-Saharan Africa,2017,0-6 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,7-27 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,28-364 days,Male,Diabetes mellitus,"Prevalent cases per 100,000",0,0,0
Sub-Saharan Africa,2017,1-4 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",6.950935213,3.943554745,11.23131234
Sub-Saharan Africa,2017,5-9 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",86.30436387,61.98278754,116.7754725
Sub-Saharan Africa,2017,10-14 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",430.1753719,328.3829209,530.1434634
Sub-Saharan Africa,2017,15-19 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",1328.705646,1003.63838,1738.997493
Sub-Saharan Africa,2017,20-24 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",2365.44836,1856.442772,2919.98254
Sub-Saharan Africa,2017,25-29 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",3556.992081,2840.796662,4303.864062
Sub-Saharan Africa,2017,30-34 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",4625.45584,3854.646523,5497.380178
Sub-Saharan Africa,2017,35-39 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",5701.979781,4856.758812,6681.39141
Sub-Saharan Africa,2017,40-44 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",7006.992957,5993.644568,8161.401678
Sub-Saharan Africa,2017,45-49 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",9150.05932,7934.882856,10650.52364
Sub-Saharan Africa,2017,50-54 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",12184.40142,10500.63851,14129.53004
Sub-Saharan Africa,2017,55-59 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",15799.89936,13746.35696,18130.8452
Sub-Saharan Africa,2017,60-64 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",19754.90048,17164.35652,22719.07885
Sub-Saharan Africa,2017,65-69 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",23362.67875,20461.70594,26497.5267
Sub-Saharan Africa,2017,70-74 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",26357.20487,23093.23679,29590.84573
Sub-Saharan Africa,2017,75-79 years,Male,Diabetes mellitus,"Prevalent cases per 100,000",28280.98458,24829.02183,31702.77964
Sub-Saharan Africa,2017,80-84,Male,Diabetes mellitus,"Prevalent cases per 100,000",28910.75555,25569.72075,32418.27782
Sub-Saharan Africa,2017,85-89,Male,Diabetes mellitus,"Prevalent cases per 100,000",27717.8741,24379.65721,31353.04933
Sub-Saharan Africa,2017,90-94,Male,Diabetes mellitus,"Prevalent cases per 100,000",24777.08988,21438.35801,28386.27657
Sub-Saharan Africa,2017,95+ years,Male,Diabetes mellitus,"Prevalent cases per 100,000",20690.12693,17448.36693,24247.85662
