"DATE","PROVINCE","REGION","AGEGROUP","SEX","CASES"
"2020-03-01","Brussels","Brussels","10-19","M",1
"2020-03-01","Brussels","Brussels","10-19","F",1
"2020-03-01","Brussels","Brussels","20-29","M",1
"2020-03-01","Brussels","Brussels","30-39","F",1
"2020-03-01","Brussels","Brussels","40-49","F",1
"2020-03-01","Brussels","Brussels","50-59","M",1
"2020-03-01","Liège","Wallonia","40-49","M",2
"2020-03-01","Limburg","Flanders","70-79","M",1
"2020-03-01","OostVlaanderen","Flanders","50-59","F",1
"2020-03-01","VlaamsBrabant","Flanders","10-19","F",2
"2020-03-01","VlaamsBrabant","Flanders","40-49","M",1
"2020-03-01","VlaamsBrabant","Flanders","40-49","F",1
"2020-03-01","VlaamsBrabant","Flanders","50-59","M",1
"2020-03-01","VlaamsBrabant","Flanders","60-69","M",1
"2020-03-02","Antwerpen","Flanders","40-49","M",1
"2020-03-02","Brussels","Brussels","10-19","F",1
"2020-03-02","Brussels","Brussels","40-49","M",1
"2020-03-02","Brussels","Brussels","50-59","F",1
"2020-03-02","Brussels","Brussels","70-79","M",1
"2020-03-02","Liège","Wallonia","60-69","F",1
"2020-03-02","OostVlaanderen","Flanders","20-29","M",1
"2020-03-02","VlaamsBrabant","Flanders","10-19","M",3
"2020-03-02","VlaamsBrabant","Flanders","40-49","M",1
"2020-03-02","VlaamsBrabant","Flanders","40-49","F",3
"2020-03-02","VlaamsBrabant","Flanders","50-59","M",1
"2020-03-02","WestVlaanderen","Flanders","50-59","M",1
"2020-03-02","WestVlaanderen","Flanders","60-69","F",1
"2020-03-03","Antwerpen","Flanders","30-39","F",1
"2020-03-03","Antwerpen","Flanders","40-49","M",1
"2020-03-03","Antwerpen","Flanders","40-49","F",1
"2020-03-03","Antwerpen","Flanders","50-59","F",1
"2020-03-03","Antwerpen","Flanders","70-79","M",1
"2020-03-03","BrabantWallon","Wallonia","10-19","M",1
"2020-03-03","BrabantWallon","Wallonia","20-29","M",1
"2020-03-03","BrabantWallon","Wallonia","40-49","F",1
"2020-03-03","BrabantWallon","Wallonia","60-69","F",1
