"DATE","REGION","AGEGROUP","SEX","DEATHS"
"2020-03-10","Brussels","85+","F",1
"2020-03-11","Flanders","85+","F",1
"2020-03-11","Brussels","75-84","M",1
"2020-03-11","Brussels","85+","F",1
"2020-03-12","Brussels","75-84","M",1
"2020-03-13","Brussels","75-84","F",2
"2020-03-13","Brussels","85+","M",1
"2020-03-14","Brussels","65-74","M",1
"2020-03-14","Brussels","75-84","M",1
"2020-03-14","Brussels","85+","M",2
"2020-03-14","Brussels","85+","F",1
"2020-03-15","Flanders","65-74","M",1
"2020-03-15","Flanders","85+","F",1
"2020-03-15","Brussels","65-74","F",1
"2020-03-15","Brussels","75-84","M",1
"2020-03-15","Wallonia","85+","F",1
"2020-03-16","Flanders","65-74","M",1
"2020-03-16","Flanders","75-84","F",1
"2020-03-16","Brussels","65-74","M",1
"2020-03-16","Brussels","75-84","F",1
"2020-03-16","Brussels","85+","M",1
"2020-03-16","Wallonia","65-74","F",1
"2020-03-16","Wallonia","75-84","M",2
"2020-03-16","Wallonia","85+","F",3
"2020-03-17","Flanders","85+","M",1
"2020-03-17","Flanders","85+","F",2
"2020-03-17","Brussels","65-74","M",1
"2020-03-17","Brussels","85+","M",4
"2020-03-17","Wallonia","75-84","M",1
"2020-03-17","Wallonia","85+","F",1
"2020-03-18","Flanders","65-74","F",1
"2020-03-18","Flanders","75-84","M",2
"2020-03-18","Flanders","85+","M",1
"2020-03-18","Flanders",NA,NA,2
"2020-03-18","Brussels","75-84","F",3
"2020-03-18","Brussels","85+","M",3
"2020-03-18","Brussels","85+","F",2
"2020-03-18","Wallonia","25-44","F",1
"2020-03-18","Wallonia","45-64","M",1
"2020-03-18","Wallonia","65-74","M",1
"2020-03-18","Wallonia","85+","F",2
"2020-03-19","Flanders","85+","M",2
"2020-03-19","Flanders","85+","F",3
"2020-03-19","Flanders","85+",NA,1
"2020-03-19","Flanders",NA,NA,1
"2020-03-19","Brussels","75-84","M",1
"2020-03-19","Brussels","85+","M",1
"2020-03-19","Brussels","85+","F",3
"2020-03-19","Wallonia","65-74","M",6
"2020-03-19","Wallonia","65-74","F",2
"2020-03-19","Wallonia","75-84","F",1
"2020-03-19","Wallonia","85+","M",3
"2020-03-19","Wallonia","85+","F",1
"2020-03-20","Flanders","45-64","M",2
"2020-03-20","Flanders","75-84","M",2
"2020-03-20","Flanders","75-84","F",1
"2020-03-20","Flanders","85+","M",1
"2020-03-20","Flanders",NA,NA,3
"2020-03-20","Brussels","45-64","M",1
"2020-03-20","Brussels","75-84","F",1
"2020-03-20","Brussels","85+","M",2
"2020-03-20","Brussels","85+","F",2
"2020-03-20","Brussels",NA,NA,1
"2020-03-20","Wallonia","65-74","M",1
"2020-03-20","Wallonia","65-74",NA,1
"2020-03-20","Wallonia","75-84","M",1
"2020-03-20","Wallonia","85+","M",2
"2020-03-20","Wallonia","85+","F",6
"2020-03-21","Flanders","65-74","M",1
"2020-03-21","Flanders","75-84","M",6
"2020-03-21","Flanders","75-84","F",2
"2020-03-21","Flanders","85+","M",2
"2020-03-21","Flanders",NA,NA,5
"2020-03-21","Brussels","75-84","M",2
"2020-03-21","Brussels","75-84","F",1
"2020-03-21","Wallonia","25-44","F",1
"2020-03-21","Wallonia","45-64","M",2
"2020-03-21","Wallonia","65-74","F",1
"2020-03-21","Wallonia","75-84","M",2
"2020-03-21","Wallonia","75-84","F",3
"2020-03-21","Wallonia","85+","M",4
"2020-03-21","Wallonia","85+","F",4
"2020-03-22","Flanders","45-64","M",2
"2020-03-22","Flanders","65-74","M",3
